profile_condition	profile_writer	n_scorer_cells	scorers	HEXACO6_mean	HEXACO6_min	HEXACO6_max	Beyond10_mean	Beyond10_min	Beyond10_max	Continuous16_mean	Continuous16_min	Continuous16_max	SVO_angle_mean
interwoven_biography	Gemma 4 31B	2	Gemini 3 Flash, Sonnet 4.6	0.916	0.911	0.921	0.783	0.775	0.790	0.833	0.830	0.835	0.802
interwoven_biography	Opus 4.7	2	Gemini 3 Flash, Sonnet 4.6	0.905	0.900	0.909	0.732	0.726	0.738	0.797	0.791	0.803	0.784
interwoven_biography	Qwen 3.7 Max	1	Gemini 3 Flash	0.910	0.910	0.910	0.737	0.737	0.737	0.802	0.802	0.802	0.873
psychometric_only	Gemma 4 31B	1	Sonnet 4.6	0.926	0.926	0.926	0.783	0.783	0.783	0.836	0.836	0.836	0.756
psychometric_only	Opus 4.7	2	Gemini 3 Flash, Sonnet 4.6	0.924	0.921	0.927	0.756	0.747	0.765	0.819	0.812	0.826	0.844
psychometric_only	Qwen 3.7 Max	2	Gemini 3 Flash, Sonnet 4.6	0.918	0.917	0.919	0.767	0.742	0.792	0.824	0.808	0.840	0.826
